"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"NextGrid Inkwood LLC",SMART,Canopy,2022,"-70.93500276139918,41.63678695359039",,"New Bedford",Massachusetts,,Planned,"Eversource MA East",,100,"Less than 500 KW",51.00,51.00,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35.00,Yes,20
"NextGrid Lyonina LLC",SMART,Roof,2022,"-71.36812330405745,42.2465203127691",,Sherborn,Massachusetts,,Planned,"Eversource MA East",,188,"Less than 500 KW",51,96,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,38
"NextGrid Mazzard LLC",SMART,Roof,2022,"-71.75926480977378,42.52513928165498",,Leominster,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,500,"500 KW to 1,999 KW",51,255,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NextGrid Pagoda Tree LLC",SMART,Canopy,2022,"-70.03198426915148,41.93046879705986",,Wellfleet,Massachusetts,02663,Planned,"Eversource MA East","NextGrid. Inc",750,"500 KW to 1,999 KW",51,383,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,153
"NextGrid Papaya LLC - 1",SMART,Canopy,2022,"-70.8392502714673,42.13702369570063",,Hanover,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,127,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Papaya LLC - 2",SMART,Roof,2022,"-70.8392502714673,42.13702369570063",,Hanover,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,127,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Papaya LLC - 3",SMART,Roof,2022,"-70.84730545355254,42.11637538088318",,Hanover,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,499,"Less than 500 KW",51,255,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NextGrid Paulownia LLC",SMART,Roof,2022,"-71.21162070903281,42.33778802945783",,Newton,Massachusetts,,Planned,"Eversource MA East",,100,"Less than 500 KW",51,51,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,20
"NextGrid Princewood LLC",SMART,Canopy,2022,"-70.49106362475315,41.61715226734678",,Mashpee,Massachusetts,,Planned,"Eversource MA East",,500,"500 KW to 1,999 KW",51,255,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NextGrid Rapanea LLC",SMART,Roof,2022,"-70.29981670711828,41.70052066063024",,Barnstable,Massachusetts,,Planned,"Eversource MA East",,186,"Less than 500 KW",51,95,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,38
"NextGrid Seagrape LLC",SMART,Roof,2022,"-71.05173171300913,42.130957862871476",,Avon,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Snowberry LLC - 1",SMART,Ground,2022,"-71.45349862295383,42.17367540437743","3-9 Madison Dr",Holliston,Massachusetts,01746,Planned,"Eversource MA East",,125,"Less than 500 KW",51,64,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,26
"NextGrid Snowberry LLC - 2",SMART,Roof,2022,"-71.42674811367941,42.20044735436054",,Holliston,Massachusetts,,Planned,"Eversource MA East",,175,"Less than 500 KW",51,89,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,36
"NextGrid Snowberry LLC - 3",SMART,Roof,2022,"-71.41305566644706,42.2117237227342",,Holliston,Massachusetts,,Planned,"Eversource MA East",,188,"Less than 500 KW",51,96,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,38
"NextGrid Sophora LLC - Canopy",SMART,Canopy,2022,"-71.14532501259816,42.15853847726839",,Canton,Massachusetts,,Planned,"Eversource MA East",,213,"Less than 500 KW",51,108,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,43
"NextGrid Sophora LLC - Roof",SMART,Roof,2022,"-71.15359656624766,42.18644075412007",,Canton,Massachusetts,,Planned,"Eversource MA East",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Tamerisk LLC",SMART,Canopy,2022,"-71.50901297336557,42.10684521748586",,Hopedale,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Toyon LLC",SMART,Canopy,2022,"-70.93255783452739,41.63624442295208",,"New Bedford",Massachusetts,,Planned,"Eversource MA East",,250,"Less than 500 KW",51,127,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"NextGrid Vauquelinia",SMART,Roof,2022,"-70.93255783452739,41.63624442295208",,"New Bedford",Massachusetts,02746,Planned,"Eversource MA East","NextGrid. Inc",499,"Less than 500 KW",51,254,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,102
"NH SolarShares - Appleknockers General Store","NH Solar Shares",Roof,2019,"-71.88751715145152,43.91231823751779","230 NH-25",Warren,"New Hampshire",03279,Operational,"New Hampshire Electric Cooperative (NHEC)","Plymouth Area Renewable Energy Initiative",21,"Less than 500 KW",100,21,"Income eligible only","Cooperative utility",Regulated,0.19,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Low = less than 10% of value stack",Yes,"High = greater than 50%",100,No,9
"NH SolarShares - Frosty Scoops/Common Man","NH Solar Shares",Mixed,2018,"-71.6885962192654,43.757193539079125",,Plymouth,"New Hampshire",,Operational,"New Hampshire Electric Cooperative (NHEC)",plymouth-area-renewable-energy-initiative-revision-energy,29,"Less than 500 KW",100,29,"Income eligible only","Cooperative utility",Regulated,0.19,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Low = less than 10% of value stack",Yes,"High = greater than 50%",85,No,10
"NHTIP Community Benefit Project 1 (1405 Brentwood Parkway NE)","DC Solar for All",Mixed,2019,"-76.99305457966727,38.910348228669186","1405 Brentwood Parkway NE",Washington,"District of Columbia",20002,Operational,"Potomac Electric Power Company (Pepco) DC","Urban Ingenuity",322,"Less than 500 KW",20,64,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,26
"Novo Properties","DC Solar for All",Roof,2020,"-77.01657167774168,38.95295957093963","310 Hamilton Street NW",Washington,"District of Columbia",20011,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",210,"Less than 500 KW",100,210,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,84
"Oak Leaf Solar XXI LLC","Solar Rewards Community CO",Ground,2018,"-104.658024,39.636453","29100 B Quincy",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXII LLC","Solar Rewards Community CO",Ground,2019,"-104.666152,39.903475","27400 E 114th Ave",Denver,Colorado,80249,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXIII LLC","Solar Rewards Community CO",Ground,2019,"-104.619260,39.804322","5900 Hudson Road",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXIV LLC","Solar Rewards Community CO",Ground,2019,"-104.558615,39.640256","36585B E COUNTY ROAD 30",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXIX LLC","Solar Rewards Community CO",Ground,2019,"-104.841885,40.248858","11485 County Road 36",Platteville,Colorado,80651,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,79,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXV LLC","Solar Rewards Community CO",Ground,2019,"-104.555633,39.639786","39299 E COUNTY ROAD 30",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXVI LLC","Solar Rewards Community CO",Ground,2019,"-104.734967,39.899055","27905 East 112 th Avenue",Denver,Colorado,80022,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXVII LLC","Solar Rewards Community CO",Ground,2018,"-104.734506,39.900022","27905 E 112th Ave",Denver,Colorado,80022,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXVIII LLC","Solar Rewards Community CO",Ground,2019,"-104.777700,40.246550","14684 County Road 36",Platteville,Colorado,80651,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,78,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Leaf Solar XXX LLC","Solar Rewards Community CO",Ground,2018,"-105.8954773876939,37.48087377759054",,"Alamosa ",Colorado,81101,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1540,"500 KW to 1,999 KW",12,185,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,74
"Oak Leaf Solar XXXI LLC","Solar Rewards Community CO",Ground,2018,"-108.319614,39.146008","Canal Road",Palisade,Colorado,81526,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,72,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,29
"Oak Leaf Solar XXXII LLC","Solar Rewards Community CO",Ground,2019,"-107.797100,39.527185","2585 W. Centennial Parkway",Rifle,Colorado,81650,Operational,"Public Service Company of Colorado (PSCo)","Oak Leaf Solar",1536,"500 KW to 1,999 KW",5,77,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,31
"Oak Ridge Parkway Community Solar","New Jersey Community Solar Pilot Program Phase 2",Ground,2022,"-74.23930986246518,39.98815077202474","227 Oak Ridge Parkway","Toms River","New Jersey",08755,Planned,"Jersey Central Power and Light (JCP&L)","EDF Renewables Distributed Solutions, Inc.",3838,"More than 2 MW",51,1957,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,783
"Oaks Landfill ","Maryland Community Solar Pilot Program",Ground,2022,"-77.11758875516821,39.19397403264452","6001 Olney Laytonsville Rd",Olney,Maryland,20882,Planned,"Potomac Electric Power Company (Pepco)","Ameresco, Inc.",4000,"More than 2 MW",100,4000,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,1600
"Ogos Energy LLC","Maryland Community Solar Pilot Program",Roof,2022,"-76.97556385965166,39.5917909617195","662 Correll Drive",Westminster,Maryland,21158,Planned,"Baltimore Gas and Electric (BGE)","Ogos Energy LLC",1080,"500 KW to 1,999 KW",30,324,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,130
"Old Bridge - Global Landfill","New Jersey Community Solar Pilot Program Phase 2",Ground,2022,"-74.28372032193037,40.446261914564865","1 Global Access","Old Bridge","New Jersey",08859,Planned,"Jersey Central Power and Light (JCP&L)","AC Power, LLC",2154,"More than 2 MW",51,1098,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,439
"Omni Navitas Holdings LLC",SMART,Canopy,2022,"-71.23493519314468,42.37660013937473",,Waltham,Massachusetts,02453,Planned,"Eversource MA East","Omni Navitas Holdings LLC",480,"Less than 500 KW",51,245,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,98
"Onset Shared Solar Project","Onset Shared Solar Project",Ground,2016,"-70.7485674188799,41.77485190635462","2421 Cranberry Hwy",Wareham,Massachusetts,02571,Operational,Eversource,"BlueHub Capital",2092,"More than 2 MW",12,240,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,56
"Oregon Shakespeare Festival Community Solar Project","Oregon Clean Power Cooperative",Roof,2021,"-122.780230,42.237569","408 Talent Ave.",Corvallis,Oregon,97540,Operational,"Pacific Power","Oregon Clean Power Cooperative",130,"Less than 500 KW",10,13,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,5
